num;Mean_mse;Mean_mae;Mean_mape;Mean_aof;sequence;hour;tr1;tr2;gauss_noise;sin_noise;train_percent;layer_size;reg1;reg2;epochs;batch_sizes;sqrp;last;variance;Median_aof;
2556126332348540286;5727.399856948378;74.31040855146448;41.31880284098174;1612.4831439419245;IM;71.97911835;0.0;0.0;0.01;0;0.5;16;0.01;0.01;[50];[8];0;2;368.84524414498077;1614.3530849597305
4881510936967987606;7109.181679732251;74.30675212024023;48.036410724488796;-92640.5584425259;IM;71.97911835;0.0;0.0;0.01;0;0.5;16;0.01;0.01;[75];[8];0;2;16877649511.4827;-45173.377382665625
5281071034349315702;7119.1215353616935;74.30935015795994;48.06301590382581;-56676.415473054745;IM;71.97911835;0.0;0.0;0.01;0;0.5;16;0.01;0.01;[100];[8];0;2;4967443051.24811;-38801.60247756759
5801859261955845059;7121.149612585648;74.30988158186835;48.068481316023;-55420.3155725558;IM;71.97911835;0.0;0.0;0.01;0;0.5;16;0.01;0.01;[125];[8];0;2;5506068336.871259;-37429.13234782012
2448603330000700583;7120.02881925012;74.30958628354021;48.065509207453694;-56289.80840144864;IM;71.97911835;0.0;0.0;0.01;0;0.5;16;0.01;0.01;[150];[8];0;2;5842609423.426207;-38197.14276881389
5979640825471541316;7121.2153733886225;74.30989167670694;48.06858183591212;-57313.77650230661;IM;71.97911835;0.0;0.0;0.01;0;0.5;16;0.01;0.01;[175];[8];0;2;6088333590.424558;-39496.453076685546
444639502313626201;7118.278862556656;74.30913005619847;48.060797635206775;-64025.29762626118;IM;71.97911835;0.0;0.0;0.01;0;0.5;16;0.01;0.01;[200];[8];0;2;7997070666.485364;-40081.31944114195
3802241557168382504;7059.104789109182;74.29359879114871;47.90068874328313;12291.526775973247;IM;71.97911835;0.0;0.0;0.01;0;0.5;24;0.01;0.01;[50];[8];0;2;17468237202.39614;-6126.86397558822
2419651606130942218;7123.326628946769;74.31044603269409;48.07421360517483;-49641.77714138436;IM;71.97911835;0.0;0.0;0.01;0;0.5;24;0.01;0.01;[75];[8];0;2;3838069275.0589547;-35324.588267388826
3967031131745230456;7121.923471098986;74.31008124103298;48.07039081706098;-61297.714124820355;IM;71.97911835;0.0;0.0;0.01;0;0.5;24;0.01;0.01;[100];[8];0;2;7186208847.345131;-36866.51686775702
1030156287449979373;7123.45571434592;74.3104794013665;48.07450349645202;-49389.4791188001;IM;71.97911835;0.0;0.0;0.01;0;0.5;24;0.01;0.01;[125];[8];0;2;3329525365.9090247;-35816.138704788886
1394579829029960092;5726.767167851865;74.3125895184035;41.29854030687629;1608.3178272875916;IM;71.97911835;0.0;0.0;0.01;0;0.5;16;0.05;0.01;[50];[8];0;2;156.67280157946723;1605.2853654984933
7438881105424053476;7121.243769689214;74.30989979626396;48.06863552392405;-57673.98235468456;IM;71.97911835;0.0;0.0;0.01;0;0.5;24;0.01;0.01;[150];[8];0;2;6009030952.750945;-38025.386251317424
863361357848327090;6022.821971728776;65.47690620579138;42.73117539338132;-53014.69990671162;IM;71.97911835;0.0;0.0;0.01;0;0.5;24;0.01;0.01;[175];[8];0;2;3662404249.7188654;-34794.42892318844
